,year,average
0,2001,1771.2691666666667
1,2002,1772.7316666666666
2,2003,1777.3341666666665
3,2004,1776.9958333333334
4,2005,1774.18
5,2006,1774.97
6,2007,1781.4724999999999
7,2008,1787.0874999999999
8,2009,1793.5733333333335
9,2010,1798.9541666666667
10,2011,1803.1608333333334
11,2012,1808.1050000000002
12,2013,1813.4541666666667
13,2014,1822.7408333333333
14,2015,1834.3625
15,2016,1843.2141666666666
16,2017,1849.7266666666667
17,2018,1857.4216666666669
18,2019,1866.6666666666667
19,2020,1879.0966666666666
20,2021,1895.4241666666667
21,2022,1911.9683333333332
